Venue ID,Latitude,Longitude,Checkin Count
49bbd6c0f964a520f4531fe3,40.71981037548853,-74.00258103213994,33
4a43c0aef964a520c6a61fe3,40.606799581406435,-74.04416981025437,135
4c5cc7b485a1e21e00d35711,40.71616168484322,-73.88307005845945,104
4bc7086715a7ef3bef9878da,40.7451638,-73.982518775,2
4cf2c5321d18a143951b5cec,40.74010382743943,-73.98965835571289,10
4b5b981bf964a520900929e3,40.69042711809854,-73.954686775096,6
4ab966c3f964a5203c7f20e3,40.75159143134631,-73.9741214009634,15
4d0cc47f903d37041864bf55,40.77942173066975,-73.95534113280371,7
4ce1863bc4f6a35d8bd2db6c,40.61915106755737,-74.03588760058483,27
4be319b321d5a59352311811,40.61900594093755,-73.99037472596906,1
4d8263a73e916dcb8edd80d2,40.74348254,-73.99400899999999,9
4ab5320cf964a5202b7320e3,40.74260751232707,-73.99270534515381,18
4cb50d599c7ba35de0ef8706,40.719762266666656,-74.25001400000001,4
4c0ab56f7e3fc9288c1df482,40.741190550641626,-73.98966309787518,72
49f85763f964a520f16c1fe3,40.70458850287454,-74.00963933087027,12
4c00297392a6c9280cc243e2,40.861981503068144,-74.04790453737951,57
4b9830a5f964a520c73235e3,40.826789537813866,-73.94950923509141,30
4a689777f964a520a0ca1fe3,40.75527487548953,-73.97880613803865,36
4bb7e0c41261d13a8707e898,40.906627,-73.777774,2
4cb4b31cb4b0a35df33969ce,40.73067679262482,-74.06567180055882,9
4ba8a9a9f964a5206ee539e3,40.88302032878746,-74.0758752822876,76
4abe60d8f964a520198d20e3,40.74281621210842,-74.00040610551177,7
4c1ff4e68b3aa5933d499e5f,40.64531729239498,-73.77383708953856,2
4c955b3558d4b60c06d03129,40.76067264603736,-74.00367709397945,21
4ba0e0edf964a520138437e3,40.736676,-73.98891,75
4bc308db4cdfc9b639bf9621,40.790599468971145,-73.98023377661316,25
4d9a2f78d97ba1430b43336b,40.75230660947181,-73.97185432025199,53
4a676ff4f964a5206fc91fe3,40.65553514439493,-74.00862937888985,38
4c5ef77bfff99c74eda954d3,40.74186151409088,-73.98943362953369,163
4bcde547511f95210d62b5c7,40.750945522488436,-74.00563392176072,34
44af9feef964a5202b351fe3,40.747738169430534,-73.98519814526952,3
3fd66200f964a52035e41ee3,40.73169799836347,-73.98922693741638,212
4b3a8e5df964a520d86925e3,40.82650767315228,-73.95039081573486,112
4b55ec3bf964a520aaf627e3,40.86283581665962,-74.19723987579346,32
40b68100f964a5207d001fe3,40.74218830848454,-73.98792418909154,442
4bf5cedf4d5f20a1833d98fe,40.90105786688402,-74.15076255798341,36
4f5684de771657f331e5ca01,40.963240757086346,-74.09463109843134,93
40e74880f964a520150a1fe3,40.74140750304299,-73.9884379506111,77
4b4fafebf964a520ee1027e3,40.69743322327686,-73.99304330348969,4
4ad607d3f964a520a10421e3,40.77807780906056,-73.95449161535046,11
4c06877bcf8c76b0f09b3a65,40.728171682360646,-74.00752186859742,4
4b7718d4f964a520077d2ee3,40.77901409172768,-73.95403861999513,5
4b6752eef964a52006482be3,40.77615805031661,-73.82361593360073,5
4cd03669c5b39eb043fb5a16,40.75062325883594,-73.99004186799563,1
49c7f7c2f964a520da571fe3,40.68892998843297,-73.99566650390625,5
49b15042f964a520d4521fe3,40.727612,-74.007306,23
4ca66eec5a1e952129d98ace,40.77843896961532,-73.95451457533076,14
4c79b79381bca093e689fe14,40.924311908583405,-73.99688829591489,51
447bf8f1f964a520ec331fe3,40.763919207747456,-73.9731399591735,208
4cbf5c4e985aa35da7854612,40.786713,-74.175476,2
4d1a2428401db60c2e9fffa4,40.78690638653544,-74.17540497495149,2
4e6657e7d4c06542ac9acee2,40.88544,-74.13887,2
4d98393cb7bf2c0f9ff5ea2d,40.81721953702811,-73.94790172576904,3
4dbdebed6e810768bf82ad95,40.803964976658776,-74.00513467434556,14
4b0d88b2f964a5206d4a23e3,40.785678999999995,-73.97283399999999,7
4e79392ce4cdb158f1cf4b75,40.80204208379726,-74.00063278107605,74
4ca264431ee76dcb0d32f0dd,40.69684127556698,-73.98717237876596,2
